,index,country,province,region_1,year,lat,lon,location,avg_temp,min_temp,max_temp,precipitation_in_mm,wind_average_kmh,wind_peak_kmh,sun_minutes
43,68.0,US,California,California,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
44,71.0,US,California,Alexander Valley,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
45,73.0,US,California,Howell Mountain,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
46,74.0,US,California,Calistoga,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
47,76.0,Germany,Rheinhessen,,2015,49.9045181,8.2711082,1,14.408411214953272,10.310280373831773,19.04672897196261,2.006542056074766,8.277570093457944,,
48,77.0,Australia,South Australia,South Australia,2016,-34.064999,150.814163,0,,,,,,,
49,78.0,US,Oregon,Eola-Amity Hills,2015,45.4206749,-122.670649,1,17.802336448598133,12.25,24.373831775700936,1.060747663551402,9.866822429906541,,
50,79.0,Portugal,Tejo,,2014,38.7490834,-9.1398309,1,18.79004739336493,16.695327102803738,24.63878504672897,1.6018691588785048,15.560096153846153,,
51,81.0,Spain,Galicia,Rías Baixas,2014,42.8804219,-8.5458608,1,15.6196261682243,11.206572769953052,23.22018779342723,3.076168224299065,9.664942528735633,,
52,83.0,Australia,South Australia,McLaren Vale,2016,-34.064999,150.814163,0,,,,,,,
53,84.0,US,California,Napa Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
54,86.0,US,Washington,Ancient Lakes,2016,38.8950368,-77.0365427,1,21.784112149532714,17.298130841121495,26.779439252336445,2.459345794392523,13.487850467289718,,
55,87.0,US,California,Knights Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
56,90.0,US,California,Sonoma County,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
57,91.0,US,California,Sonoma Coast,2015,36.778259,-119.417931,1,24.21682242990654,16.74859813084112,31.86682242990654,0.3411214953271028,11.126168224299066,,
58,93.0,Austria,Burgenland,,2015,47.1863428,16.164464,1,15.92376237623762,10.784158415841583,21.41485148514852,,8.559574468085106,,
59,97.0,US,New York,Finger Lakes,2015,40.7127281,-74.0060152,1,20.457476635514016,15.370093457943927,25.697196261682237,2.631308411214953,14.02429906542056,,
60,101.0,US,New York,Finger Lakes,2014,40.7127281,-74.0060152,1,19.47336448598131,14.565420560747663,24.47102803738318,3.432710280373832,13.681308411214951,,
61,108.0,US,California,Santa Clara Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
62,110.0,France,Beaujolais,Brouilly,2015,46.1186123,4.6156707,1,17.716826923076923,12.359134615384615,23.191346153846155,,9.854807692307693,,
63,111.0,US,California,Yountville,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
64,114.0,US,California,Paso Robles,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
65,115.0,US,California,Paso Robles,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
66,119.0,France,Alsace,Alsace,2004,48.684872850000005,2.17560777527428,1,15.534112149532712,11.207943925233645,20.068224299065417,1.6018691588785046,13.382758620689655,,
67,121.0,US,California,Alexander Valley,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
68,122.0,US,California,Rockpile,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
69,123.0,Australia,South Australia,Padthaway,2006,-34.064999,150.814163,0,,,,,,,
70,124.0,US,California,Napa Valley,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
71,125.0,South Africa,Stellenbosch,,2003,-33.934444,18.869167,0,,,,,,,
72,126.0,France,Alsace,Alsace,2007,48.684872850000005,2.17560777527428,1,15.242990654205608,11.078971962616823,19.752336448598133,2.023364485981308,12.436842105263157,,
73,127.0,France,Alsace,Alsace,2008,48.684872850000005,2.17560777527428,1,14.97943925233645,10.912149532710279,19.300934579439254,1.5373831775700935,12.55774647887324,,
74,129.0,South Africa,Stellenbosch,,2004,-33.934444,18.869167,0,,,,,,,
75,134.0,US,California,Napa Valley,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
76,142.0,US,California,Santa Lucia Highlands,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
77,144.0,US,California,Spring Mountain District,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
78,145.0,US,California,Santa Lucia Highlands,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
79,146.0,US,California,Santa Ynez Valley,2010,36.778259,-119.417931,1,22.446948356807514,14.869158878504672,30.273364485981308,0.3378504672897196,10.761682242990654,,
80,147.0,US,California,Santa Ynez Valley,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
81,148.0,Germany,Rheinhessen,,2014,49.9045181,8.2711082,1,13.858878504672898,10.179439252336449,18.179906542056077,2.618691588785047,7.627102803738318,,
82,149.0,US,California,Monterey,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
83,151.0,Portugal,Alentejano,,2014,38.6976558,-9.35351,1,18.79004739336493,16.695327102803738,24.63878504672897,1.6018691588785048,15.560096153846153,,
84,152.0,US,California,Carmel Valley,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
85,155.0,US,California,Santa Cruz Mountains,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
86,156.0,Germany,Mosel,,2014,50.7810263,12.4780171,1,14.455140186915886,9.210280373831775,19.635981308411214,2.3560747663551402,9.23846153846154,31.56410256410256,
87,157.0,Portugal,Alentejano,,2013,38.6976558,-9.35351,1,20.103738317757013,16.2107476635514,24.899532710280372,1.5724299065420562,15.988571428571431,,
88,162.0,US,California,Edna Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
89,163.0,France,Beaujolais,Moulin-à-Vent,2011,46.1186123,4.6156707,1,17.43793103448276,12.12955665024631,23.1512315270936,,7.970935960591134,,
90,168.0,US,California,Napa Valley,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
91,169.0,US,California,Russian River Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
92,173.0,US,Oregon,Willamette Valley,2014,45.4206749,-122.670649,1,17.52710280373832,12.385046728971961,23.708411214953266,1.8691588785046729,10.456542056074765,,
93,174.0,New Zealand,Marlborough,,2008,-36.7846223,174.723989,0,,,,,,,
94,178.0,US,California,Sonoma Valley,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
95,180.0,US,California,Santa Lucia Highlands,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
96,181.0,US,California,Arroyo Seco,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
97,184.0,US,California,Sonoma Coast,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
98,186.0,US,California,Anderson Valley,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
99,187.0,Italy,Sicily & Sardinia,Sicilia,2003,39.373062,9.157212,1,23.008878504672897,18.359803921568627,28.574766355140188,0.6373786407766989,,,
100,192.0,Italy,Veneto,Rosso del Veronese,2003,45.666668,12.25,1,20.68691588785047,15.130653266331658,27.46435643564356,0.8535483870967743,8.295833333333334,,
101,199.0,US,California,Nevada County,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
102,203.0,Portugal,Alentejo,,2012,38.0551003,-7.8605799,1,19.973831775700933,13.603755868544601,27.635981308411218,8.935294117647059,13.073708920187793,,
103,204.0,US,California,Paso Robles,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
104,205.0,US,California,Arroyo Seco,2015,36.778259,-119.417931,1,24.21682242990654,16.74859813084112,31.86682242990654,0.3411214953271028,11.126168224299066,,
105,207.0,US,California,Dry Creek Valley,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
106,215.0,Israel,Galilee,,2014,32.6032121,35.4447957,1,,,,,,,
107,218.0,US,California,Napa Valley,2015,36.778259,-119.417931,1,24.21682242990654,16.74859813084112,31.86682242990654,0.3411214953271028,11.126168224299066,,
108,219.0,Hungary,Tokaj,,2015,48.1235534,21.4113895,1,,,,,,,
109,220.0,US,California,Sonoma Coast,2014,36.778259,-119.417931,1,25.482710280373833,17.732710280373833,33.40654205607477,0.17523364485981308,11.168224299065418,,
110,225.0,South Africa,Stellenbosch,,2013,-33.934444,18.869167,0,,,,,,,
111,226.0,South Africa,Stellenbosch,,2014,-33.934444,18.869167,0,,,,,,,
112,227.0,US,New York,Finger Lakes,2006,40.7127281,-74.0060152,1,19.594835680751178,14.664018691588783,24.596728971962612,3.9242990654205605,15.373364485981309,,
113,228.0,US,New York,Cayuga Lake,2006,40.7127281,-74.0060152,1,19.594835680751178,14.664018691588783,24.596728971962612,3.9242990654205605,15.373364485981309,,
114,229.0,US,California,Napa Valley,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
115,232.0,Australia,South Australia,South Australia,2006,-34.064999,150.814163,0,,,,,,,
116,233.0,US,Oregon,Willamette Valley,2006,45.4206749,-122.670649,1,16.643661971830984,11.016355140186915,23.035046728971963,1.0934579439252339,10.870560747663552,,
117,235.0,US,California,Santa Barbara County,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
118,236.0,US,California,Diamond Mountain District,2004,36.778259,-119.417931,1,23.48738317757009,15.479439252336448,31.302336448598133,0.30327102803738315,11.898130841121494,,0.0
119,238.0,Australia,South Australia,McLaren Vale,2006,-34.064999,150.814163,0,,,,,,,
120,239.0,US,California,Mendocino,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
121,242.0,US,California,Russian River Valley,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
122,243.0,US,New York,Finger Lakes,2002,40.7127281,-74.0060152,1,19.830841121495325,14.861214953271029,24.70700934579439,3.4696261682242984,15.734579439252336,,0.0
123,246.0,Australia,South Australia,Adelaide Hills,2006,-34.064999,150.814163,0,,,,,,,
124,247.0,US,California,Sonoma Mountain,2004,36.778259,-119.417931,1,23.48738317757009,15.479439252336448,31.302336448598133,0.30327102803738315,11.898130841121494,,0.0
125,249.0,US,Virginia,Monticello,2007,47.52326,-92.536571,1,13.57417840375587,6.936150234741785,19.83661971830986,0.11061946902654868,10.550471698113206,,
126,250.0,US,California,Alexander Valley,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
127,252.0,US,California,Amador County,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
128,254.0,US,California,St. Helena,2008,36.778259,-119.417931,1,23.722748815165875,15.6107476635514,32.04345794392523,0.06448598130841121,10.412149532710279,,
129,255.0,US,California,Cole Ranch,2009,36.778259,-119.417931,1,23.683644859813086,15.866355140186915,31.635514018691595,0.3303738317757009,10.790186915887853,,
130,258.0,South Africa,Stellenbosch,,2007,-33.934444,18.869167,0,,,,,,,
131,262.0,US,California,Napa Valley,2008,36.778259,-119.417931,1,23.722748815165875,15.6107476635514,32.04345794392523,0.06448598130841121,10.412149532710279,,
132,263.0,US,California,Santa Maria Valley,2009,36.778259,-119.417931,1,23.683644859813086,15.866355140186915,31.635514018691595,0.3303738317757009,10.790186915887853,,
133,265.0,South Africa,Stellenbosch,,2009,-33.934444,18.869167,0,,,,,,,
134,268.0,Italy,Veneto,Veneto,2005,45.666668,12.25,1,18.90046728971963,13.86734693877551,24.150471698113204,3.3569444444444443,6.821761658031088,,
135,271.0,Greece,Santorini,,2010,36.4622122,25.3757257,1,28.425,25.5,31.75,,17.375,,
136,276.0,US,California,Sonoma County,2009,36.778259,-119.417931,1,23.683644859813086,15.866355140186915,31.635514018691595,0.3303738317757009,10.790186915887853,,
137,280.0,Austria,Kremstal,,2012,48.40999,15.60384,1,15.83411214953271,11.039153439153438,22.014553990610327,2.571359223300971,8.3,,
138,281.0,US,California,Santa Maria Valley,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
139,283.0,US,Oregon,Dundee Hills,2011,45.4206749,-122.670649,1,15.433177570093457,10.749532710280373,20.871495327102803,1.4939252336448599,9.178504672897196,,
140,285.0,Austria,Kremstal,,2011,48.40999,15.60384,1,15.958878504672896,10.881481481481481,22.23443396226415,2.297938144329897,,,
141,286.0,US,California,Arroyo Grande Valley,2011,36.778259,-119.417931,1,22.850000000000005,15.344859813084112,30.6126168224299,0.4135514018691589,10.301869158878505,,
142,287.0,Spain,Catalonia,Montsant,2010,41.390205,2.154007,1,20.119158878504674,16.323474178403757,24.284037558685448,1.613084112149533,13.97829457364341,,
143,293.0,Australia,South Australia,Barossa Valley,2009,-34.064999,150.814163,0,,,,,,,
144,295.0,US,California,Paso Robles,2008,36.778259,-119.417931,1,23.722748815165875,15.6107476635514,32.04345794392523,0.06448598130841121,10.412149532710279,,
145,301.0,US,Washington,Columbia Valley (WA),2009,38.8950368,-77.0365427,1,20.178504672897194,15.787850467289722,25.111214953271023,3.642056074766355,12.631308411214954,,
146,305.0,US,California,Mendocino County,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
147,306.0,Romania,Recas,,2009,45.8017074,21.5092923,1,18.244859813084112,11.336134453781513,25.025210084033613,,9.05294117647059,,
148,316.0,France,Bordeaux,Bordeaux Blanc,2008,44.841225,-0.5800364,1,16.761682242990656,12.107943925233647,22.21822429906542,2.6448598130841123,10.946,,
149,319.0,Italy,Veneto,Veneto,2007,45.666668,12.25,1,19.657943925233642,14.7311004784689,24.992018779342718,2.224761904761905,5.668811881188119,,
150,320.0,Italy,Veneto,Prosecco di Valdobbiadene,2008,45.666668,12.25,1,19.57336448598131,15.189201877934272,24.52102803738318,2.6904761904761907,5.8389423076923075,,
151,321.0,Italy,Veneto,Prosecco di Valdobbiadene,2007,45.666668,12.25,1,19.657943925233642,14.7311004784689,24.992018779342718,2.224761904761905,5.668811881188119,,
152,324.0,Italy,Veneto,Prosecco di Conegliano,2007,45.666668,12.25,1,19.657943925233642,14.7311004784689,24.992018779342718,2.224761904761905,5.668811881188119,,
153,325.0,US,New York,Finger Lakes,2007,40.7127281,-74.0060152,1,19.74719626168224,14.76915887850467,24.75,4.571028037383177,14.708878504672896,,
154,328.0,US,California,Knights Valley,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
155,329.0,US,California,Mendocino,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
156,330.0,US,California,Central Coast,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
157,338.0,France,Provence,Coteaux Varois en Provence,2015,46.0974492,4.5808081,1,16.30048076923077,10.415865384615385,22.215384615384615,,10.079807692307693,,
158,340.0,France,Alsace,Alsace,2015,48.684872850000005,2.17560777527428,1,15.723831775700933,10.973831775700935,20.252336448598133,1.4803738317757007,11.5906103286385,,
159,341.0,US,California,Dry Creek Valley,2013,36.778259,-119.417931,1,24.64392523364486,16.84906542056075,32.69626168224299,0.024299065420560744,11.090186915887848,,
160,347.0,Germany,Rheingau,,2014,50.0442658,8.1915377,1,15.969158878504674,11.720093457943927,20.675700934579442,2.238785046728972,8.599999999999998,,
161,349.0,Australia,South Australia,Barossa,2012,-34.064999,150.814163,0,,,,,,,
162,351.0,Hungary,Tokaji,,2005,48.1658637,21.381382426012586,1,,,,,,,
163,356.0,Australia,Victoria,Heathcote,2013,-21.2309116,148.9741517,0,,,,,,,
164,358.0,Germany,Rheingau,,2011,50.0442658,8.1915377,1,16.00981308411215,11.295794392523364,21.077570093457947,1.4752336448598131,9.659428571428572,,
165,360.0,Australia,South Australia,Barossa Valley,2012,-34.064999,150.814163,0,,,,,,,
166,362.0,US,California,Diamond Mountain District,2012,36.778259,-119.417931,1,24.43598130841121,16.599532710280375,32.544859813084116,0.2700934579439252,10.39018691588785,,
167,364.0,US,Oregon,Dundee Hills,2014,45.4206749,-122.670649,1,17.52710280373832,12.385046728971961,23.708411214953266,1.8691588785046729,10.456542056074765,,
168,365.0,Australia,South Australia,Clare Valley,2013,-34.064999,150.814163,0,,,,,,,
169,370.0,US,California,Sonoma Valley,1991,36.778259,-119.417931,1,23.058490566037733,14.832242990654205,31.05140186915888,0.10140186915887851,12.798130841121495,31.72009345794393,751.2897196261682
170,372.0,Italy,Veneto,Soave,2002,45.666668,12.25,1,19.124766355140185,14.311666666666666,24.968367346938773,6.985074626865671,8.330833333333334,,
171,374.0,US,California,Mendocino County,2001,36.778259,-119.417931,1,24.004205607476635,15.769626168224299,31.96168224299065,0.26682242990654204,10.73691588785047,,0.0
172,377.0,Greece,Naoussa,,2001,40.6308695,40.428022,1,,,,,,,
173,378.0,Mexico,Valle de Guadalupe,,1996,21.0113273,-102.6147189,1,,,,,,,
174,381.0,Italy,Veneto,Bianco di Custoza,2000,45.666668,12.25,1,19.681308411214957,14.137888198757762,25.498342541436468,19.28095238095238,4.776470588235293,,
175,383.0,Italy,Veneto,Valdadige,2001,45.666668,12.25,1,19.328504672897193,14.01129943502825,25.49603960396039,10.5,6.722857142857143,,
176,385.0,US,California,Rutherford,2001,36.778259,-119.417931,1,24.004205607476635,15.769626168224299,31.96168224299065,0.26682242990654204,10.73691588785047,,0.0
177,386.0,US,California,Russian River Valley,2000,36.778259,-119.417931,1,23.11682242990654,15.36355140186916,30.54813084112149,0.538785046728972,11.305140186915889,,0.0
178,387.0,US,California,Alexander Valley,2000,36.778259,-119.417931,1,23.11682242990654,15.36355140186916,30.54813084112149,0.538785046728972,11.305140186915889,,0.0
179,388.0,US,California,Edna Valley,1999,36.778259,-119.417931,1,22.674766355140186,14.401869158878505,30.583644859813088,0.13925233644859814,11.403738317757007,,
180,392.0,US,California,Santa Ynez Valley,2000,36.778259,-119.417931,1,23.11682242990654,15.36355140186916,30.54813084112149,0.538785046728972,11.305140186915889,,0.0
181,396.0,US,California,California,2007,36.778259,-119.417931,1,23.181690140845074,15.255140186915884,31.20233644859813,0.09345794392523366,11.23271028037383,,
182,403.0,US,California,California,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
183,404.0,US,California,Santa Barbara County,2005,36.778259,-119.417931,1,22.922535211267604,15.341588785046731,30.61728971962617,0.27102803738317754,11.476635514018692,,
184,408.0,Italy,Veneto,Prosecco di Conegliano e Valdobbiadene,2008,45.666668,12.25,1,19.57336448598131,15.189201877934272,24.52102803738318,2.6904761904761907,5.8389423076923075,,
185,411.0,US,California,California,2006,36.778259,-119.417931,1,23.44716981132075,15.785981308411213,31.211214953271032,0.4411214953271028,10.69626168224299,,
186,418.0,Austria,Burgenland,,2007,47.1863428,16.164464,1,16.006976744186044,10.44186046511628,21.98953488372093,,6.7823899371069185,,
